topology,ny_variant,V,eta,theta,r0,delta_V,stability_type
S3,FULL,5.0,-2.0,3.0,14.400000020748589,245586.9850919218,type-II
S3,FULL,5.0,-2.0,4.0,19.20000005119373,582132.481050295,type-II
S3,FULL,5.0,-2.0,5.0,23.99999987346717,1136977.834993723,type-II
S3,FULL,5.0,-1.0,0.0,,,type-III
S3,FULL,5.0,-1.0,1.0,3.843908417015716,4124.851701055029,type-I
S3,FULL,5.0,-1.0,2.0,7.924284848825058,39755.54440396608,type-I
S3,FULL,5.0,-1.0,3.0,11.949789009488473,138579.33364354252,type-I
S3,FULL,5.0,-1.0,4.0,15.962411939943266,332153.2133972037,type-I
S3,FULL,5.0,-1.0,5.0,19.969955857818594,652058.7774375514,type-I
S3,FULL,5.0,0.0,0.0,,,type-III
S3,FULL,5.0,0.0,1.0,2.658300787229371,779.757117137235,type-I
S3,FULL,5.0,0.0,2.0,6.1664795036383016,17176.22902291887,type-I
S3,FULL,5.0,0.0,3.0,9.447580406622915,66005.48263823593,type-I
S3,FULL,5.0,0.0,4.0,12.686493580968811,163435.01069553455,type-I
S3,FULL,5.0,0.0,5.0,15.90948826629885,325551.5225732235,type-I
S3,FULL,5.0,1.0,0.0,,,type-III
S3,FULL,5.0,1.0,1.0,,,type-III
S3,FULL,5.0,1.0,2.0,4.1999992430955215,3837.172515194922,type-I
S3,FULL,5.0,1.0,3.0,6.831099372696545,22175.606945674408,type-I
S3,FULL,5.0,1.0,4.0,9.329900989352604,61152.63629137172,type-I
S3,FULL,5.0,1.0,5.0,11.786189361155731,127348.28454518426,type-I
S3,FULL,5.0,2.0,0.0,,,type-III
S3,FULL,5.0,2.0,1.0,,,type-III
S3,FULL,5.0,2.0,2.0,,,type-III
S3,FULL,5.0,2.0,3.0,3.785641157353169,1749.555178779468,type-I
S3,FULL,5.0,2.0,4.0,5.7298212579329695,10647.253997201764,type-I
S3,FULL,5.0,2.0,5.0,7.487119622792622,27900.017606788286,type-I
S3,FULL,5.0,3.0,0.0,,,type-III
S3,FULL,5.0,3.0,1.0,,,type-III
S3,FULL,5.0,3.0,2.0,,,type-III
S3,FULL,5.0,3.0,3.0,,,type-III
S3,FULL,5.0,3.0,4.0,,,type-III
S3,FULL,5.0,3.0,5.0,,,type-III
S3,FULL,5.0,4.0,0.0,,,type-III
S3,FULL,5.0,4.0,1.0,,,type-III
S3,FULL,5.0,4.0,2.0,,,type-III
S3,FULL,5.0,4.0,3.0,,,type-III
S3,FULL,5.0,4.0,4.0,,,type-III
S3,FULL,5.0,4.0,5.0,,,type-III
S3,FULL,5.0,5.0,0.0,,,type-III
S3,FULL,5.0,5.0,1.0,,,type-III
S3,FULL,5.0,5.0,2.0,,,type-III
S3,FULL,5.0,5.0,3.0,,,type-III
S3,FULL,5.0,5.0,4.0,,,type-III
S3,FULL,5.0,5.0,5.0,,,type-III
S3,TT,0.0,-5.0,0.0,,,type-III
S3,TT,0.0,-5.0,1.0,,,type-III
S3,TT,0.0,-5.0,2.0,,,type-III
S3,TT,0.0,-5.0,3.0,,,type-III
S3,TT,0.0,-5.0,4.0,,,type-III
S3,TT,0.0,-5.0,5.0,,,type-III
S3,TT,0.0,-4.0,0.0,,,type-III
S3,TT,0.0,-4.0,1.0,,,type-III
S3,TT,0.0,-4.0,2.0,,,type-III
S3,TT,0.0,-4.0,3.0,,,type-III
S3,TT,0.0,-4.0,4.0,,,type-III
S3,TT,0.0,-4.0,5.0,,,type-III
S3,TT,0.0,-3.0,0.0,,,type-III
S3,TT,0.0,-3.0,1.0,,,type-III
S3,TT,0.0,-3.0,2.0,,,type-III
S3,TT,0.0,-3.0,3.0,,,type-III
S3,TT,0.0,-3.0,4.0,,,type-III
S3,TT,0.0,-3.0,5.0,,,type-III
S3,TT,0.0,-2.0,0.0,,,type-III
S3,TT,0.0,-2.0,1.0,,,type-III
S3,TT,0.0,-2.0,2.0,,,type-III
S3,TT,0.0,-2.0,3.0,,,type-III
S3,TT,0.0,-2.0,4.0,,,type-III
S3,TT,0.0,-2.0,5.0,,,type-III
S3,TT,0.0,-1.0,0.0,,,type-III
S3,TT,0.0,-1.0,1.0,,,type-III
S3,TT,0.0,-1.0,2.0,,,type-III
S3,TT,0.0,-1.0,3.0,,,type-III
S3,TT,0.0,-1.0,4.0,,,type-III
S3,TT,0.0,-1.0,5.0,,,type-III
S3,TT,0.0,0.0,0.0,,,type-III
S3,TT,0.0,0.0,1.0,,,type-III
S3,TT,0.0,0.0,2.0,,,type-III
S3,TT,0.0,0.0,3.0,,,type-III
S3,TT,0.0,0.0,4.0,,,type-III
S3,TT,0.0,0.0,5.0,,,type-III
